,City,Lats,Lngs,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pointe-noire,-4.7761,11.8635,25.04,94,75,1.54,CG,1668918395
1,birao,10.2849,22.7882,18.22,27,72,3.11,CF,1668918396
2,graaff-reinet,-32.2522,24.5308,12.74,61,0,1.01,ZA,1668918396
3,atuona,-9.8,-139.0333,25.31,70,42,4.85,PF,1668918397
4,tanta,30.7885,31.0019,15.92,83,6,3.12,EG,1668918397
5,navalmoral de la mata,39.8916,-5.5406,8.87,73,100,2.94,ES,1668918398
6,yellowknife,62.456,-114.3525,-4.71,74,100,4.12,CA,1668918398
7,faanui,-16.4833,-151.75,25.9,80,100,4.55,PF,1668918399
8,albany,42.6001,-73.9662,-3.49,65,28,2.52,US,1668918399
9,cape town,-33.9258,18.4232,15.47,80,0,3.09,ZA,1668918325
10,visby,57.6409,18.296,-2.86,100,40,1.54,SE,1668918400
11,mayo,38.8876,-76.5119,1.57,77,99,0.45,US,1668918400
12,arraial do cabo,-22.9661,-42.0278,21.14,84,100,2.03,BR,1668918240
13,tuktoyaktuk,69.4541,-133.0374,-4.0,93,100,4.12,CA,1668918401
14,ostrovnoy,68.0531,39.5131,1.14,93,100,3.84,RU,1668918401
15,visnes,59.3556,5.2242,0.03,59,0,7.72,NO,1668918402
16,katete,-0.7818,29.7544,15.47,97,100,0.93,UG,1668918403
17,lagoa,39.05,-27.9833,17.75,93,100,9.27,PT,1668918403
18,ushuaia,-54.8,-68.3,5.81,61,40,1.54,AR,1668918404
19,severo-kurilsk,50.6789,156.125,1.5,66,41,3.6,RU,1668918404
20,sorland,67.667,12.6934,3.92,59,0,2.82,NO,1668918405
21,changde,29.0464,111.6783,20.28,55,0,2.18,CN,1668918405
22,luanda,-8.8368,13.2343,24.0,88,20,1.03,AO,1668918406
23,kodiak,57.79,-152.4072,4.73,87,100,6.69,US,1668918205
24,arlit,18.7369,7.3853,21.05,15,100,2.9,NE,1668918406
25,aksarka,66.5606,67.7975,-22.84,95,51,1.39,RU,1668918407
26,vestmannaeyjar,63.4427,-20.2734,7.59,80,48,8.11,IS,1668918407
27,saint-philippe,-21.3585,55.7679,25.77,69,11,1.95,RE,1668918408
28,dikson,73.5069,80.5464,-26.54,97,99,4.49,RU,1668918408
29,port elizabeth,-33.918,25.5701,16.29,72,0,3.6,ZA,1668918285
30,torbay,47.6666,-52.7314,0.02,73,20,8.23,CA,1668918409
31,urengoy,65.9667,78.3667,-30.74,99,32,3.0,RU,1668918409
32,khatanga,71.9667,102.5,-33.1,98,100,1.07,RU,1668918257
33,palimbang,6.2106,124.1894,30.21,63,100,2.47,PH,1668918410
34,cayenne,4.9333,-52.3333,24.02,94,0,0.0,GF,1668918349
35,saint-paul,-21.0096,55.2707,25.41,67,4,2.21,RE,1668918411
36,tasiilaq,65.6145,-37.6368,1.09,77,100,3.61,GL,1668918411
37,tiksi,71.6872,128.8694,-19.57,98,100,3.07,RU,1668918412
38,saint george,37.1041,-113.5841,4.38,41,0,3.09,US,1668918126
39,busselton,-33.65,115.3333,19.31,47,93,2.06,AU,1668918412
40,port macquarie,-31.4333,152.9167,33.83,27,17,5.21,AU,1668918413
41,hobart,-42.8794,147.3294,16.43,48,75,7.72,AU,1668918273
42,rikitea,-23.1203,-134.9692,22.16,66,100,4.32,PF,1668918414
43,puerto ayora,-0.7393,-90.3518,20.31,96,94,0.89,EC,1668918414
44,mataura,-46.1927,168.8643,14.71,76,86,0.72,NZ,1668918414
45,haines junction,60.7522,-137.5108,-10.03,92,99,0.51,CA,1668918415
46,amarpur,25.0333,86.9,22.31,33,47,2.45,IN,1668918333
47,plettenberg bay,-34.0527,23.3716,13.91,72,0,2.08,ZA,1668918416
48,puerto madryn,-42.7692,-65.0385,17.0,40,100,7.53,AR,1668918416
49,geraldton,-28.7667,114.6,24.23,41,0,7.2,AU,1668918417
50,jertih,5.7336,102.4897,32.26,68,100,3.34,MY,1668918417
51,juneau,58.3019,-134.4197,3.25,97,100,7.2,US,1668918324
52,oroville,39.5138,-121.5564,7.85,60,0,0.45,US,1668918418
53,qaanaaq,77.484,-69.3632,-19.24,56,2,2.94,GL,1668918419
54,saskylakh,71.9167,114.0833,-28.29,100,97,0.74,RU,1668918419
55,panlaitan,12.1191,119.8486,29.2,74,50,6.61,PH,1668918420
56,noumea,-22.2763,166.4572,27.99,75,76,4.35,NC,1668918033
57,aklavik,68.2191,-135.0107,-11.29,99,88,2.11,CA,1668918420
58,cidreira,-30.1811,-50.2056,20.66,78,41,11.33,BR,1668918421
59,lang son,21.8333,106.7333,25.62,67,90,1.47,VN,1668918265
60,castro,-24.7911,-50.0119,12.79,92,36,4.75,BR,1668918422
61,tiznit,29.5833,-9.5,15.61,42,42,1.3,MA,1668918422
62,punta arenas,-53.15,-70.9167,7.06,57,40,9.26,CL,1668918423
63,kyenjojo,0.6328,30.6214,14.26,99,93,0.67,UG,1668918423
64,ilulissat,69.2167,-51.1,-2.99,50,33,4.12,GL,1668918424
65,grand gaube,-20.0064,57.6608,25.77,61,0,3.13,MU,1668918424
66,chavantes,-23.0389,-49.7094,16.95,81,0,3.87,BR,1668918425
67,jamestown,42.097,-79.2353,-3.69,56,40,7.72,US,1668918336
68,san juan,-31.5375,-68.5364,28.47,35,0,2.35,AR,1668918388
69,zhigansk,66.7697,123.3711,-21.66,97,99,5.54,RU,1668918426
70,bluff,-46.6,168.3333,14.89,86,58,6.37,NZ,1668918426
71,tucurui,-3.7661,-49.6725,23.61,93,92,0.92,BR,1668918427
72,planaltina,-15.4528,-47.6142,17.49,91,87,1.1,BR,1668918427
73,upernavik,72.7868,-56.1549,-9.08,91,100,4.5,GL,1668918428
74,kapaa,22.0752,-159.319,24.04,80,40,8.23,US,1668918428
75,kupang,-10.1667,123.5833,31.32,79,40,2.06,ID,1668918429
76,roma,43.2128,-75.4557,-1.52,66,100,3.6,US,1668918429
77,mahibadhoo,3.7833,72.9667,27.16,80,100,5.87,MV,1668918430
78,sibolga,1.7427,98.7792,28.37,71,99,1.71,ID,1668918430
79,sobolevo,54.4299,31.8996,-12.78,99,86,2.47,RU,1668918431
80,butaritari,3.0707,172.7902,27.32,72,68,4.42,KI,1668918284
81,haikou,20.0458,110.3417,27.07,78,40,7.0,CN,1668918432
82,necochea,-38.5473,-58.7368,18.36,81,1,3.76,AR,1668918433
83,saint-augustin,51.226,-58.6502,-12.97,94,51,2.67,CA,1668918433
84,bulawayo,-20.15,28.5833,22.1,31,3,2.13,ZW,1668918434
85,cam ranh,11.9214,109.1591,24.98,100,75,2.06,VN,1668918435
86,lebu,-37.6167,-73.65,12.16,86,14,7.84,CL,1668918306
87,nikolskoye,59.7035,30.7861,-5.05,81,89,3.58,RU,1668918436
88,port lincoln,-34.7333,135.8667,15.98,60,24,12.66,AU,1668918436
89,airai,-8.9266,125.4092,17.55,93,100,0.65,TL,1668918437
90,det udom,14.906,105.0784,28.9,78,100,3.88,TH,1668918437
91,beringovskiy,63.05,179.3167,-14.13,83,100,8.58,RU,1668918438
92,thompson,55.7435,-97.8558,-13.91,85,100,2.57,CA,1668918439
93,moree,-29.4667,149.85,29.36,21,37,10.16,AU,1668918439
94,krasnoshchekovo,51.6708,82.7289,-6.68,91,100,4.34,RU,1668918440
95,dingle,10.9995,122.6711,29.13,76,99,3.52,PH,1668918440
96,nanortalik,60.1432,-45.2371,-0.94,76,100,1.82,GL,1668918441
97,sochi,43.6,39.7303,14.05,77,87,3.48,RU,1668918305
98,labuhan,-6.8844,112.2051,30.17,66,31,4.29,ID,1668918442
99,prokhorovka,51.0374,36.7325,-3.24,94,100,4.06,RU,1668918442
100,hambantota,6.1241,81.1185,29.19,74,20,1.54,LK,1668918443
101,bambous virieux,-20.3428,57.7575,23.14,78,75,1.54,MU,1668918444
102,yulara,-25.2406,130.9889,27.08,14,38,1.97,AU,1668918445
103,hermanus,-34.4187,19.2345,10.45,80,26,1.76,ZA,1668918445
104,tsiroanomandidy,-18.7667,46.0333,21.4,84,41,0.47,MG,1668918350
105,sarkand,45.41,79.9186,4.56,76,100,2.33,KZ,1668918446
106,doka,13.5167,35.7667,23.55,55,3,3.12,SD,1668918446
107,amalapuram,16.5833,82.0167,23.94,57,100,2.18,IN,1668918447
108,kodinsk,58.6881,99.1844,-12.37,86,93,2.96,RU,1668918448
109,hilo,19.7297,-155.09,22.34,86,20,2.06,US,1668918320
110,staraya toropa,56.2801,31.6702,-4.41,95,100,2.35,RU,1668918448
111,sitka,57.0531,-135.33,8.94,61,100,8.23,US,1668918418
112,port alfred,-33.5906,26.891,13.43,87,14,1.34,ZA,1668918449
113,datong,40.0936,113.2914,6.55,37,73,2.2,CN,1668918450
114,longyearbyen,78.2186,15.6401,2.91,87,75,6.69,SJ,1668918450
115,port blair,11.6667,92.75,28.53,71,86,4.06,IN,1668918250
116,colac,-38.3333,143.5833,12.13,71,35,7.86,AU,1668918451
117,kruisfontein,-34.0033,24.7314,12.5,68,0,2.39,ZA,1668918452
118,kaitangata,-46.2817,169.8464,14.05,82,89,2.27,NZ,1668918257
119,carnarvon,-24.8667,113.6333,26.7,36,0,6.42,AU,1668918452
120,ilo,-17.6394,-71.3375,18.29,84,75,1.08,PE,1668918453
121,namibe,-15.1961,12.1522,20.9,77,68,2.41,AO,1668918453
122,mount gambier,-37.8333,140.7667,12.99,80,26,8.9,AU,1668918454
123,derveni,38.1333,22.4167,20.0,71,100,1.0,GR,1668918454
